Date,Montco,MontCo 14 Day,MontCo Goal,Philly,Philly 14 Day,Philly Goal
19-Mar,47,0,414,33,0,792
20-Mar,59,12,414,42,9,792
21-Mar,71,24,414,69,36,792
22-Mar,87,40,414,91,58,792
23-Mar,129,82,414,128,95,792
24-Mar,144,97,414,177,144,792
25-Mar,172,125,414,257,224,792
26-Mar,282,235,414,402,369,792
27-Mar,374,327,414,530,497,792
28-Mar,411,364,414,709,676,792
29-Mar,488,441,414,865,832,792
30-Mar,540,493,414,1007,974,792
31-Mar,570,523,414,1197,1164,792
1-Apr,649,602,414,1478,1445,792
2-Apr,735,676,414,1852,1810,792
3-Apr,875,804,414,2284,2215,792
4-Apr,982,895,414,2610,2519,792
5-Apr,1111,982,414,3135,3007,792
6-Apr,1230,1086,414,3611,3434,792
7-Apr,1359,1187,414,4012,3755,792
8-Apr,1521,1239,414,4456,4054,792
9-Apr,1693,1319,414,5029,4499,792
10-Apr,1889,1478,414,5521,4812,792
11-Apr,2053,1565,414,6022,5157,792
12-Apr,2164,1624,414,6352,5345,792
13-Apr,2285,1715,414,6810,5613,792
14-Apr,2354,1705,414,7121,5643,792
15-Apr,2475,1740,414,7347,5495,792
16-Apr,2544,1669,414,7684,5400,792
17-Apr,2684,1702,414,8138,5528,792
18-Apr,2781,1670,414,8502,5367,792
19-Apr,2913,1683,414,8764,5153,792
20-Apr,3040,1681,414,9038,5026,792
21-Apr,3154,1633,414,9391,4935,792
22-Apr,3294,1601,414,9696,4667,792
23-Apr,3395,1506,414,10090,4569,792
24-Apr,3525,1472,414,10507,4485,792
25-Apr,3627,1463,414,10893,4541,792
26-Apr,3733,1448,414,11152,4342,792
27-Apr,3817,1463,414,11361,4240,792
28-Apr,4043,1568,414,11604,4257,792
29-Apr,4177,1633,414,11885,4201,792
30-Apr,4307,1623,414,12297,4159,792
1-May,4406,1625,414,12544,4042,792
2-May,4487,1574,414,12948,4184,792
3-May,4552,1512,414,13179,4141,792
4-May,4645,1491,414,13316,3925,792
5-May,4687,1393,414,13563,3867,792
6-May,4827,1432,414,13742,3652,792
7-May,4915,1390,414,14006,3499,792
8-May,5037,1410,414,14384,3491,792
9-May,5116,1383,414,14637,3485,792
10-May,5260,1443,414,14883,3522,792
11-May,5292,1249,414,15008,3404,792
12-May,5442,1265,414,15218,3333,792
